number;disciplines_id;avgMark
1013;1989;3.409
1014;1996;4.071
1015;1997;4.222
1016;1998;4.417
1017;2000;3.087
1018;2002;4.362
1019;2004;3.531
1020;2006;4.714
1021;2009;4.231
1022;2012;4.9
1023;2014;4.357
1024;2016;4.286
1025;2018;3.308
1026;2019;5
1027;2020;4.667
1028;2024;3.828
1029;2025;3.714
1030;2026;4.643
1031;2027;5
1032;2028;3.276
1033;2029;5
1034;2030;4.818
1035;2031;4
1036;2032;4.706
1037;2033;4
1038;2034;4.5
1039;2039;4.308
1040;2041;4.649
1041;2042;3.889
1042;2043;4.417
1043;2044;5
1044;2045;4.083
1045;2046;4.786
1046;2047;4.346
1047;2050;3.72
1048;2052;3.462
1049;2054;4.714
1050;2055;3.417
1051;2056;5
1052;2058;4.75
1053;2059;4.222
1054;2064;4.611
1055;2066;5
1056;2067;4.643
1057;2068;4.818
1058;2069;4.643
1059;2070;4.063
1060;2075;5
1061;2077;5
1062;2079;5
1063;2080;4.5
1064;2081;4.071
1065;2084;3.813
1066;2086;4.462
1067;2087;3.797
1068;2088;4.495
1069;2091;4.818
1070;2092;4.538
1071;2093;4.75
1072;2095;4.318
1073;2096;4.278
1074;2097;4.8
1075;2098;3.375
1076;2100;4.857
1077;2105;4.909
1078;2106;4.769
1079;2108;4.545
1080;2109;3.611
1081;2114;4.333
1082;2119;4.25
1083;2122;4.467
1084;2124;4.905
1085;2126;4.455
1086;2128;5
1087;2129;4.433
1088;2131;4.917
1089;2132;4.375
1090;2133;4.5
1091;2134;4.438
1092;2137;4.75
1093;2143;4.926
1094;2146;4.733
1095;2147;4.9
1096;2149;2
1097;2150;4.273
1098;2152;4.615
1099;2154;4.361
1100;2155;4.9
1101;2156;4.357
1102;2157;4.545
1103;2159;5
1104;2161;4.667
1105;2163;4.714
1106;2165;3.122
1107;2167;4.917
1108;2169;5
1109;2170;4.077
1110;2173;4.9
1111;2176;3.167
1112;2177;4.231
1113;2179;3.667
1114;2180;4.583
1115;2181;4.364
1116;2182;5
1117;2183;5
1118;2185;4.583
1119;2186;4.667
1120;2189;4.5
1121;2190;4.85
1122;2199;4
1123;2200;5
1124;2205;3.377
1125;2220;3.971
